"Species","IUCNstatus"
"Falcatifolium papuanum","Not Threatened"
"Ficus adelpha","Not Threatened"
"Ficus bernaysii","Not Threatened"
"Ficus brunneoaurata","Not Evaluated"
"Ficus calopilina","Not Threatened"
"Ficus comitis","Not Threatened"
"Ficus complexa","Not Threatened"
"Ficus conocephalifolia","Not Threatened"
"Ficus dammaropsis","Not Threatened"
"Ficus edelfeltii","Not Threatened"
"Ficus endochaete","Not Threatened"
"Ficus eustephana","Threatened"
"Ficus hahliana","Not Threatened"
"Ficus iodotricha","Not Threatened"
"Ficus itoana","Not Threatened"
"Ficus leptodictya","Not Threatened"
"Ficus microdictya","Not Threatened"
"Ficus morobensis","Not Threatened"
"Ficus mutabilis","Vulnerable"
"Ficus otophora","Not Evaluated"
"Ficus pachyrrhachis","Not Threatened"
"Ficus papuana","Not Threatened"
"Ficus phaeosyce","Not Threatened"
"Ficus pilulifera","Not Threatened"
"Ficus porphyrochaete","Not Threatened"
"Ficus pseudojaca","Not Threatened"
"Ficus pseudowassa","Not Threatened"
"Ficus quercetorum","Not Threatened"
"Ficus rhizophoriphylla","Not Threatened"
"Ficus robusta","Not Threatened"
"Ficus saccata","Not Threatened"
"Ficus saruensis","Threatened"
"Ficus scopulifera","Not Threatened"
"Ficus semivestita","Not Threatened"
"Ficus stellaris","Not Threatened"
"Ficus sublimbata","Not Threatened"
"Ficus subnervosa","Not Threatened"
"Ficus trichocerasa","Not Threatened"
"Ficus versicolor","Not Evaluated"
"Finschia carrii","Not Evaluated"
"Finschia rufa","Not Evaluated"
"Firmiana papuana","Not Threatened"
"Fitchia speciosa","Not Threatened"
"Fittingia tubiflora","Not Threatened"
"Fittingia urceolata","Not Threatened"
"Forchhammeria sessilifolia","Not Threatened"
"Gaertnera drakeana","Vulnerable"
"Gaertnera monstruosa","Vulnerable"
"Garcinia archboldiana","Not Threatened"
"Garcinia assugu","Not Threatened"
"Garcinia hessii","Not Evaluated"
"Garcinia hollrungii","Not Threatened"
"Garcinia jaweri","Threatened"
"Garcinia maluensis","Not Threatened"
"Garcinia puat","Not Evaluated"
"Garcinia riparia","Not Threatened"
"Garcinia sabangensis","Not Threatened"
"Garcinia schraderi","Not Threatened"
"Garcinia warburgiana","Not Threatened"
"Gardenia papuana","Not Threatened"
"Gaussia attenuata","Vulnerable"
"Geissois montana","Not Threatened"
"Geniostoma antherotrichum","Not Threatened"
"Geniostoma weinlandii","Not Threatened"
"Gesneria pedunculosa","Not Threatened"
"Gillbeea papuana","Not Threatened"
"Glochidion borgmannii","Not Threatened"
"Glochidion chlamydogyne","Not Threatened"
"Glochidion chondrocarpum","Not Threatened"
"Glochidion eucleoides","Not Threatened"
"Glochidion granulare","Not Threatened"
"Glochidion mitrastylum","Not Threatened"
"Glochidion pachyconum","Not Threatened"
"Glochidion pyriforme","Threatened"
"Gmelina ledermannii","Vulnerable"
"Gmelina magnifica","Not Evaluated"
"Gmelina schlechteri","Vulnerable"
"Gmelina sessilis","Vulnerable"
"Gmelina smithii","Vulnerable"
"Gnetum costatum","Not Threatened"
"Gomphandra montana","Not Threatened"
"Gomphandra pseudoprasina","Not Threatened"
"Goniothalamus aruensis","Not Threatened"
"Goniothalamus grandiflorus","Not Threatened"
"Gonocarpus sanguineus","Not Threatened"
"Gossia kuakuensis","Not Evaluated"
"Gossypium lobatum","Threatened"
"Graffenrieda gentlei","Not Evaluated"
"Grevillea papuana","Not Evaluated"
"Guettarda baladensis","Not Evaluated"
"Guioa comesperma","Not Threatened"
"Guioa contracta","Not Threatened"
"Guioa crenulata","Not Evaluated"
"Guioa platycarpa","DD"
"Guioa pseudoamabilis","Not Threatened"
"Guioa rigidiuscula","Not Threatened"
"Guioa subsericea","Not Threatened"
"Guioa unguiculata","Vulnerable"
"Gymnosporia dhofarensis","Not Threatened"
"Gymnostoma nodiflorum","Not Evaluated"
"Gynochthodes decipiens","Not Evaluated"
