"Species","IUCNstatus"
"Cinnamomum mollissimum","Not Threatened"
"Cinnamomum rhynchophyllum","Not Threatened"
"Cinnamomum sintoc","Not Threatened"
"Cinnamosma macrocarpa","Vulnerable"
"Claoxylon salicinum","Vulnerable"
"Claoxylon stapfianum","Not Threatened"
"Cleistanthus bakonensis","Not Evaluated"
"Cleistanthus capuronii","Threatened"
"Cleistanthus gracilis","Not Evaluated"
"Cleistanthus helferi","Not Evaluated"
"Cleistanthus hirsutulus","Not Evaluated"
"Cleistanthus maingayi","Not Evaluated"
"Cleistanthus monoicus","Not Evaluated"
"Cleistanthus perrieri","Not Threatened"
"Cleistanthus pubens","Not Evaluated"
"Cleistanthus rufescens","Not Evaluated"
"Cleistanthus vestitus","Not Evaluated"
"Clerodendrum adenophysum","Not Threatened"
"Clerodendrum aucubifolium","Not Evaluated"
"Clerodendrum disparifolium","Not Threatened"
"Clerodendrum hiulcum","Not Evaluated"
"Clerodendrum laxiflorum","Not Evaluated"
"Clerodendrum petunioides","Not Evaluated"
"Clerodendrum rubellum","Not Evaluated"
"Clerodendrum trichanthum","Not Evaluated"
"Cleyera obovata","Not Evaluated"
"Cliftonia monophylla","Not Threatened"
"Clusia drouetiana","Not Evaluated"
"Clusia major","Not Evaluated"
"Clusia mayana","Threatened"
"Coccothrinax scoparia","Not Evaluated"
"Coelocaryon oxycarpum","Not Evaluated"
"Coelocaryon sphaerocarpum","Not Threatened"
"Coelostegia griffithii","Not Evaluated"
"Coffea arenesiana","Threatened"
"Coffea coursiana","Vulnerable"
"Coffea homollei","Vulnerable"
"Coffea lulandoensis","Vulnerable"
"Coffea mcphersonii","Threatened"
"Coffea millotii","Not Threatened"
"Coffea richardii","Not Threatened"
"Coffea sambavensis","Threatened"
"Coffea schliebenii","Vulnerable"
"Coffea stenophylla","Vulnerable"
"Coffea vohemarensis","Threatened"
"Cola angustifolia","Threatened"
"Cola attiensis","Threatened"
"Cola boxiana","Threatened"
"Cola buntingii","Not Threatened"
"Cola reticulata","Vulnerable"
"Cola simiarum","Vulnerable"
"Cola umbratilis","Vulnerable"
"Colea alata","Not Evaluated"
"Colea asperrima","Not Evaluated"
"Colea hirsuta","Not Evaluated"
"Colea lutescens","Not Evaluated"
"Colea nana","Not Evaluated"
"Colea purpurascens","Not Evaluated"
"Colea tetragona","Not Evaluated"
"Comocladia mayana","Not Evaluated"
"Conchopetalum brachysepalum","Not Threatened"
"Conchopetalum madagascariense","Threatened"
"Connarus grandis","Not Threatened"
"Connarus monocarpus","Not Evaluated"
"Copaifera salikounda","Vulnerable"
"Coprosma pyrifolia","Vulnerable"
"Coptosperma pachyphyllum","Not Threatened"
"Cordia cardenasiana","Threatened"
"Cotylelobium lanceolatum","Vulnerable"
"Coussapoa cupularis","DD"
"Cowiea borneensis","Not Threatened"
"Crataegus aemula","Vulnerable"
"Crataegus aestivalis","Not Threatened"
"Crataegus aprica","Not Threatened"
"Crataegus brachyacantha","Not Threatened"
"Crataegus dispar","Not Threatened"
"Crataegus harbisonii","Threatened"
"Crataegus lacrimata","Not Threatened"
"Crataegus mendosa","DD"
"Crataegus opaca","Not Threatened"
"Crataegus pearsonii","Not Evaluated"
"Crataegus sargentii","Not Threatened"
"Cratoxylum glaucum","Not Evaluated"
"Croton dispar","Threatened"
"Croton ekmanii","Not Evaluated"
"Croton multicostatus","Vulnerable"
"Croton vatomandrensis","Vulnerable"
"Crotonogyne caterviflora","Not Threatened"
"Crotonogynopsis akeassii","Not Threatened"
"Crudia caudata","Not Evaluated"
"Crudia subsimplicifolia","Not Evaluated"
"Crypteronia griffithii","Not Evaluated"
"Cryptocarya costata","Not Threatened"
"Cryptocarya ferrea","Not Threatened"
"Cryptocarya fulva","Threatened"
"Cryptocarya glauca","Not Threatened"
"Cryptocarya griffithiana","Not Threatened"
"Cryptocarya krameri","Vulnerable"
"Cryptocarya litoralis","Not Threatened"
"Cryptocarya nitens","Not Threatened"
"Cryptocarya nova-anglica","Not Evaluated"
"Cryptocarya ovalifolia","Not Threatened"
"Cryptocarya retusa","Vulnerable"
"Cryptocarya revoluta","Threatened"
"Cryptocarya rugulosa","Not Threatened"
"Cryptocarya subtriplinervia","Vulnerable"
"Cryptocarya wiedensis","Not Evaluated"
"Cryptosepalum minutifolium","Threatened"
"Cryptosepalum tetraphyllum","Vulnerable"
"Cuviera schliebenii","Threatened"
"Cymbopetalum mayanum","Not Threatened"
"Cynometra ananta","Not Threatened"
"Cynometra capuronii","Threatened"
"Cynometra dauphinensis","Vulnerable"
"Cynometra elmeri","Not Threatened"
"Cynometra leonensis","Not Threatened"
"Cynometra malaccensis","Not Threatened"
"Cyrtostachys renda","Not Evaluated"
"Dacrycarpus kinabaluensis","Not Threatened"
"Dacrydium gibbsiae","Not Threatened"
"Dacryodes costata","Not Threatened"
"Dacryodes kukachkana","Not Evaluated"
"Dacryodes laxa","Not Threatened"
"Dacryodes leonardiana","Not Evaluated"
"Dacryodes longifolia","Not Evaluated"
"Dacryodes rostrata","Not Threatened"
"Dacryodes rubiginosa","Not Evaluated"
"Dacryodes rugosa","Not Threatened"
"Dactyladenia dinklagei","Vulnerable"
"Dactyladenia scabrifolia","Not Evaluated"
"Dactyladenia whytei","Not Threatened"
"Dalbergia andapensis","Threatened"
"Dalbergia bathiei","Threatened"
"Dalbergia bojeri","Threatened"
"Dalbergia glaucocarpa","Vulnerable"
"Dalbergia louvelii","Threatened"
"Dalbergia maritima","Threatened"
"Dalbergia normandii","Threatened"
"Dalbergia stevensonii","Threatened"
"Dalbergia viguieri","Vulnerable"
"Daphniphyllum borneense","Not Evaluated"
"Daphnopsis tuerckheimiana","Not Threatened"
"Dasymaschalon macrocalyx","Not Evaluated"
"Decarydendron lamii","Vulnerable"
"Decarydendron perrieri","Vulnerable"
"Decarydendron ranomafanensis","Not Threatened"
"Dehaasia cairocan","Not Threatened"
"Dehaasia longipetiolata","Not Evaluated"
"Dendrocnide elliptica","Not Threatened"
"Dendropanax borneensis","Not Evaluated"
"Dialium platysepalum","Not Evaluated"
"Dialium procerum","Not Threatened"
"Dialium unifoliolatum","Not Threatened"
"Dialyceras coriaceum","Vulnerable"
"Dialyceras discolor","Threatened"
"Dialyceras parvifolium","Threatened"
"Dichaetanthera altissima","Threatened"
"Dichapetalum virchowii","Vulnerable"
"Dicoryphe macrophylla","Not Threatened"
"Dicranolepis persei","Not Threatened"
"Dicymbe amazonica","DD"
"Didelotia afzelii","Vulnerable"
"Didelotia idae","Not Threatened"
"Dillenia excelsa","Not Evaluated"
"Dillenia pulchella","Not Evaluated"
"Dimocarpus fumatus","Not Threatened"
"Diospyros amabi","Threatened"
"Diospyros andamanica","Not Evaluated"
"Diospyros apiculata","Not Threatened"
"Diospyros areolata","Not Threatened"
"Diospyros britannoborneensis","Not Threatened"
"Diospyros calophylla","Not Threatened"
"Diospyros capricornuta","Threatened"
"Diospyros confertiflora","Not Evaluated"
"Diospyros cooperi","Not Threatened"
"Diospyros coriacea","Vulnerable"
"Diospyros decaryana","Vulnerable"
"Diospyros dicorypheoides","Threatened"
"Diospyros diepenhorstii","Not Evaluated"
"Diospyros ebenifera","Threatened"
"Diospyros foxworthyi","Not Threatened"
"Diospyros frutescens","Not Evaluated"
"Diospyros fuscovelutina","Not Threatened"
"Diospyros hassleri","Not Evaluated"
"Diospyros liberiensis","Not Threatened"
"Diospyros louvelii","Threatened"
"Diospyros madecassa","Vulnerable"
"Diospyros mafiensis","Not Threatened"
"Diospyros masoalensis","Not Threatened"
"Diospyros meeusiana","Threatened"
"Diospyros obducta","Threatened"
"Diospyros pendula","Not Evaluated"
"Diospyros perreticulata","Not Threatened"
"Diospyros pyrrhocarpa","Not Evaluated"
"Diospyros rigida","Not Evaluated"
"Diospyros rufa","Not Threatened"
"Diospyros stenocarpa","Vulnerable"
"Diospyros subsessilifolia","Not Threatened"
"Diospyros sumatrana","DD"
"Diospyros tampinensis","Vulnerable"
"Diospyros thomasii","Not Threatened"
"Diospyros toxicaria","Not Threatened"
"Diospyros velutipes","Not Threatened"
"Diospyros vignei","Not Threatened"
"Diospyros wallichii","Not Threatened"
"Diplospora malaccensis","Not Evaluated"
"Diplycosia heterophylla","Not Threatened"
"Diplycosia pseudorufescens","Not Evaluated"
"Diplycosia viridiflora","Vulnerable"
"Dipterocarpus acutangulus","Threatened"
"Dipterocarpus confertus","Not Threatened"
"Dipterocarpus geniculatus","Threatened"
"Dipterocarpus kunstleri","Threatened"
"Dipterocarpus oblongifolius","Not Threatened"
"Dipterocarpus palembanicus","Vulnerable"
"Dipterocarpus stellatus","Vulnerable"
"Discospermum abnorme","Not Evaluated"
"Disepalum anomalum","Not Evaluated"
"Disepalum coronatum","Not Evaluated"
"Dissomeria glanduligera","Threatened"
"Dombeya acerifolia","Threatened"
"Dombeya albisquama","Threatened"
"Dombeya andapensis","Vulnerable"
"Dombeya antsianakensis","Not Threatened"
"Dombeya befotakensis","Vulnerable"
"Dombeya biumbellata","Threatened"
"Dombeya coria","Vulnerable"
"Dombeya decanthera","Threatened"
"Dombeya dichotomopsis","Vulnerable"
"Dombeya laurifolia","Vulnerable"
"Dombeya somanga","Threatened"
"Dombeya spectabilis","Not Threatened"
"Dombeya stipulacea","Threatened"
"Doratoxylon littorale","Threatened"
"Dovyalis xanthocarpa","Vulnerable"
"Dracaena chiniana","Not Evaluated"
"Dracaena scabra","Threatened"
"Drimycarpus luridus","Not Evaluated"
"Dryobalanops oblongifolia","Not Threatened"
"Drypetes ambigua","Not Threatened"
"Drypetes aubrevillei","Not Threatened"
"Drypetes aylmeri","Not Evaluated"
"Drypetes ivorensis","Not Threatened"
"Drypetes pellegrinii","Vulnerable"
"Drypetes singroboensis","Vulnerable"
"Duguetia aripuanae","DD"
"Duguetia reticulata","DD"
"Durio grandiflorus","Vulnerable"
"Durio graveolens","Vulnerable"
"Durio oblongus","Not Threatened"
"Durio oxleyanus","Not Threatened"
"Durio testudinarius","Not Threatened"
"Duroia steinbachii","Not Evaluated"
"Dypsis arenarum","Threatened"
"Dypsis bejofo","Vulnerable"
"Dypsis boiviniana","Threatened"
"Dypsis ceracea","Threatened"
"Dypsis coursii","Not Threatened"
"Dypsis decaryi","Vulnerable"
"Dypsis faneva","Threatened"
"Dypsis fasciculata","Not Threatened"
"Dypsis forficifolia","Not Threatened"
"Dypsis hovomantsina","Threatened"
"Dypsis lutescens","Not Threatened"
"Dypsis mananjarensis","Not Threatened"
"Dypsis moorei","Threatened"
"Dypsis paludosa","Vulnerable"
"Dypsis perrieri","Vulnerable"
"Dypsis sahanofensis","Threatened"
"Dypsis serpentina","Vulnerable"
"Dypsis tsaravoasira","Vulnerable"
"Dypsis utilis","Threatened"
"Dysoxylum carolinae","Not Threatened"
"Dysoxylum densiflorum","Not Evaluated"
"Ehretia trachyphylla","Not Threatened"
"Elaeocarpus acronodia","Not Threatened"
"Elaeocarpus angustipes","Not Evaluated"
"Elaeocarpus brunnescens","Not Evaluated"
"Elaeocarpus capuronii","Not Threatened"
