Species,AOO
Acacia_triptycha,371
Acacia_tropica,493
Acacia_tumida,3687
Acacia_tysonii,482
Acacia_uncifera,205
Acacia_undoolyana,135
Acacia_undulifolia,198
Acacia_verniciflua,5081
Acacia_veronica,40
Acacia_verricula,661
Acacia_verticillata,5411
Acacia_vestita,899
Acacia_victoriae,80644
Acacia_viscidula,1756
Acacia_wanyu,385
Acacia_wardellii,136
Acacia_wattsiana,646
Acacia_websteri,67
Acacia_wetarensis,29
Acacia_wilcoxii,44
Acacia_willingii,19
Acacia_xanthina,342
Acacia_xiphophylla,574
Acacia_yorkrakinensis,902
Acaciella_angustissima,10670
Acaciella_glauca,43
Acaciella_goldmanii,539
Acaciella_rosei,175
Acaciella_villosa,813
Acalypha_acrogyna,39
Acalypha_angatensis,249
Acalypha_apodanthes,440
Acalypha_benensis,33
Acalypha_cardiophylla,74
Acalypha_caturus,215
Acalypha_chocoana,14
Acalypha_cuneata,2374
Acalypha_diversifolia,11696
Acalypha_forsteriana,0
Acalypha_fruticosa,636
Acalypha_glabrata,607
Acalypha_grandibracteata,18
Acalypha_grandis,53
Acalypha_grisebachiana,0
Acalypha_hellwigii,283
Acalypha_inaequilatera,0
Acalypha_juruana,14
Acalypha_lepinei,0
Acalypha_longispica,58
Acalypha_lyonsii,47
Acalypha_macrostachya,9837
Acalypha_muelleriana,218
Acalypha_multiflora,46
Acalypha_neptunica,515
Acalypha_novoguineensis,386
Acalypha_ornata,1084
Acalypha_padifolia,811
Acalypha_pancheriana,77
Acalypha_peruviana,196
Acalypha_platyphylla,770
Acalypha_pubiflora,87
Acalypha_raivavensis,9
Acalypha_rapensis,17
Acalypha_repanda,18
Acalypha_rivularis,0
Acalypha_schiedeana,1765
Acalypha_sonderiana,60
Acalypha_stachyura,1135
Acalypha_stellata,34
Acalypha_stenoloba,1126
Acalypha_stricta,445
Acalypha_suirenbiensis,72
Acalypha_tenuifolia,72
Acalypha_villosa,493
Acalypha_wilkesiana,0
Acanthella_sprucei,584
Acanthocladus_guayaquilensis,24
